year,ticker,N,delta,xmin,alpha,gamma (nlls),gamma (psd),phi exponent,beta exponent
2025,AFT,500,3,2.0,1.5784179687499993,0.49298458270684664,0.5046461254161267,0.3829724310831712,0.7660107147813913
2025,AFT,500,4,2.0,1.6593505859374993,0.49298458270684664,0.5046461254161267,0.33787196228906247,1.0000023596408594
2023,AFT,1000,2,3.0,1.9771484375,0.4855951892466086,0.6776244741888545,0.4539587247910127,0.20303979532653374
2024,AFT,1000,2,3.0,1.9384033203124993,0.4612467534220479,0.49091818805849574,0.4539587247910127,0.20303979532653374
2025,AFT,1000,2,2.0,1.555493164062499,0.49298458270684664,0.5046461254161267,0.4539587247910127,0.20303979532653374
2024,AFT,1000,3,2.0,1.5987792968749992,0.4612467534220479,0.49091818805849574,0.3305253361396761,1.0000013478491798
2025,AFT,1000,3,2.0,1.6017822265624995,0.49298458270684664,0.5046461254161267,0.3305253361396761,1.0000013478491798
2023,AGL,100,2,2.0,1.559118652343749,0.514635778248664,0.5502939308994292,0.8573442083582159,0.17317855823107042
2024,AGL,100,2,2.0,1.5442138671874988,0.5345636114056395,0.5271612183050809,0.8573442083582159,0.17317855823107042
2025,AGL,100,2,2.0,1.5683471679687488,0.5670748520290227,0.5561000447763822,0.8573442083582159,0.17317855823107042
2023,AGL,100,3,2.0,1.6567871093749997,0.514635778248664,0.5502939308994292,0.742777800627719,0.18509613069240652
2024,AGL,100,3,2.0,1.6396484374999987,0.5345636114056395,0.5271612183050809,0.742777800627719,0.18509613069240652
2025,AGL,100,3,2.0,1.6619873046874991,0.5670748520290227,0.5561000447763822,0.742777800627719,0.18509613069240652
2023,AGL,100,4,2.0,1.6657958984374988,0.514635778248664,0.5502939308994292,0.7191374544687336,0.18555224788651295
2024,AGL,100,4,2.0,1.6501953124999993,0.5345636114056395,0.5271612183050809,0.7191374544687336,0.18555224788651295
2025,AGL,100,4,2.0,1.6660156249999991,0.5670748520290227,0.5561000447763822,0.7191374544687336,0.18555224788651295
2023,AGL,500,2,2.0,1.6057373046874996,0.514635778248664,0.5502939308994292,0.8593645813045441,0.18244405237291922
2024,AGL,500,2,2.0,1.5890380859374993,0.5345636114056395,0.5271612183050809,0.8593645813045441,0.18244405237291922
2025,AGL,500,2,2.0,1.602880859374999,0.5670748520290227,0.5561000447763822,0.8593645813045441,0.18244405237291922
2023,AGL,500,3,2.0,1.695898437499999,0.514635778248664,0.5502939308994292,0.7987997946954035,0.1731798088394451
2024,AGL,500,3,2.0,1.6853515624999997,0.5345636114056395,0.5271612183050809,0.7987997946954035,0.1731798088394451
2025,AGL,500,3,2.0,1.6884277343749994,0.5670748520290227,0.5561000447763822,0.7987997946954035,0.1731798088394451
2023,AGL,500,4,2.0,1.7073974609374991,0.514635778248664,0.5502939308994292,0.7755565343617264,0.15634481066504538
2024,AGL,500,4,2.0,1.6922363281249995,0.5345636114056395,0.5271612183050809,0.7755565343617264,0.15634481066504538
2025,AGL,500,4,2.0,1.6860839843749997,0.5670748520290227,0.5561000447763822,0.7755565343617264,0.15634481066504538
